Source,Target,Type,Decision
S1000,L1000,Document,F
L1000,L1010,Document,N
L1000,L1020,Document,Y
L1010,P1011,Document,F
P1011,P1012,Document,F
P1012,P1013,Document,F
P1013,P1014,Document,F
L1020,S1021,Document,F
S1021,E0000,Goods,N
S1021,S1022,Document,Y
S1022,A1020,Document,F
A1020,A1021,Document,N
A1020,A1022,Document,Y
A1021,S1023,Document,N
A1021,A1022,Document,Y
A1022,A1023,Document,N
A1022,A1024,Document,Y
A1023,S1023,Document,N
A1023,A1024,Document,Y
S1023,S1022,Document,F
A1024,S1024,Document,F
S1024,S1025,Document,Y
S1024,L1021,Document,N
S1025,S1026,Document,F
S1026,L1021,Document,F
L1021,L1022,Document,F
L1022,L1023,Document,Y
L1022,S1023,Document,N
L1023,S1027,Document,F
S1027,S1028,Document,F
S1028,L1024,Document,F
L1024,A1025,Goods,F
A1025,A1026,Document,F
A1025,A1028,Document,F
A1026,A1027,Document,F
A1028,A1029,Document,Y
A1028,A1030,Document,N
A1029,A1030,Document,F
A1030,A1026,Document,F
